episode,total_reward,episode_length,actor_loss,critic_loss,time_taken,total_timesteps
235,3.6999977,110,5.9903564453125,0.2059440314769745,25.53433060646057,40610
236,3.989997,137,23.250438690185547,0.1525629162788391,31.695361137390137,40747
237,2.6199985,98,4.436147689819336,0.03464008867740631,23.592304229736328,40845
238,1.5299991,73,1.8636502027511597,0.043420348316431046,18.222418069839478,40918
239,2.7099981,131,3.7551302909851074,0.07096642255783081,29.78669261932373,41049
240,3.4999974,124,15.439905166625977,0.44049036502838135,28.24376630783081,41173
241,6.2100015,170,5.4066290855407715,0.2687123417854309,38.43375110626221,41343
242,7.120008,236,6.80641508102417,0.8927907347679138,50.62200856208801,41579
243,2.9499981,102,6.7164812088012695,0.14278030395507812,23.700474739074707,41681
244,5.1400003,199,6.704291820526123,0.5041840672492981,43.452043533325195,41880
245,7.580006,218,8.956049919128418,0.5758687853813171,47.91459631919861,42098
246,3.1599982,99,9.058056831359863,0.20769396424293518,23.59633183479309,42197
247,10.650016,378,6.097425937652588,0.7763049304485321,79.79614853858948,42575
248,11.040013,267,19.506853699684143,2.3831599950790405,56.94414210319519,42842
249,1.9399987,96,3.9149727821350098,0.0289464071393013,22.834838151931763,42938
250,4.6299987,131,4.524145126342773,0.24268844723701477,29.652227878570557,43069
251,1.6999992,90,6.520817279815674,0.09438993781805038,21.62541365623474,43159
252,1.9599991,97,24.227415084838867,0.044255875051021576,23.47857165336609,43256
253,2.229999,80,6.9440765380859375,0.05998801067471504,20.00859498977661,43336
254,1.9599992,69,1.2640621662139893,0.01910216175019741,17.359249591827393,43405
255,4.399997,205,7.592653751373291,0.08650080114603043,44.540528297424316,43610
256,4.7399974,145,2.689267873764038,0.1791408210992813,33.467474699020386,43755
257,8.960018,275,5.755040168762207,1.3869661092758179,59.371479749679565,44030
258,2.959998,127,5.023660659790039,0.037317223846912384,29.02919602394104,44157
259,3.829997,127,68.09585571289062,0.22948360443115234,28.834272384643555,44284
260,3.3399978,111,4.406625747680664,0.05573518946766853,25.850697994232178,44395
261,11.990017,379,8.179484605789185,0.7360651791095734,80.1288583278656,44774
262,1.5099992,73,1.6563605070114136,0.11156024783849716,18.445223808288574,44847
263,10.440021,347,3.1890732049942017,2.3970483541488647,73.18208575248718,45194
264,3.6699975,122,7.842047691345215,0.2983892261981964,27.778881072998047,45316
265,3.889997,173,7.458639144897461,0.21729104220867157,38.16116166114807,45489
266,2.7099981,106,3.1629650592803955,0.11775119602680206,25.245037078857422,45595
267,1.9599986,112,3.0065643787384033,0.015523453243076801,26.561636447906494,45707
268,6.170004,212,3.5032970905303955,0.508579671382904,45.952871322631836,45919
269,2.6499984,94,2.113618850708008,0.17065489292144775,22.19459581375122,46013
270,3.6599972,137,27.292757034301758,0.2089478075504303,30.80671191215515,46150
271,10.210011,283,1.16730135679245,0.872489720582962,61.2145893573761,46433
272,2.5299985,105,15.240038871765137,0.09547130763530731,24.492938995361328,46538
273,3.8199975,105,2.216343879699707,0.6234908103942871,24.390061616897583,46643
274,1.849999,84,11.42922592163086,0.037774160504341125,20.4576096534729,46727
275,1.6999991,67,1.194681167602539,0.010893641971051693,16.832547426223755,46794
276,4.960001,170,11.765382766723633,0.567539393901825,38.515097856521606,46964
277,5.0099983,156,3.1658153533935547,0.270450234413147,34.75725436210632,47120
278,2.1099987,97,6.71903657913208,0.13640658557415009,22.836902379989624,47217
279,2.0999987,101,3.1107025146484375,0.0307621993124485,23.851237297058105,47318
280,4.960001,182,4.229366779327393,0.20783355832099915,39.87577962875366,47500
281,2.499998,100,6.040236473083496,0.059731073677539825,23.927465677261353,47600
282,2.9099982,107,68.16133880615234,0.06925685703754425,25.254868030548096,47707
283,7.1500053,219,4.117405414581299,0.6373510956764221,47.43490719795227,47926
284,8.000008,254,5.142172336578369,0.22494769096374512,55.12303376197815,48180
285,4.6299973,193,4.713801860809326,0.10311632603406906,42.32981300354004,48373
286,3.8599973,123,7.435313701629639,0.3553665280342102,29.447334051132202,48496
287,4.5699987,145,3.227463483810425,0.09998344630002975,37.5118989944458,48641
288,8.710022,276,13.832031607627869,0.7040658891201019,60.43360352516174,48917
289,2.0699992,78,4.687324047088623,0.11199241876602173,19.064672708511353,48995
290,4.51,159,2.5238499641418457,0.3072846531867981,35.37912917137146,49154
291,10.480019,321,3.5577640533447266,1.3346091508865356,69.20131516456604,49475
292,2.1699986,122,3.6740634441375732,0.10946621745824814,27.97492790222168,49597
293,2.4699988,91,3.610300064086914,0.07807866483926773,21.577833890914917,49688
294,2.3299987,97,2.426297187805176,0.032414015382528305,23.080618143081665,49785
295,9.050007,267,6.056950092315674,1.0905197858810425,57.346455574035645,50052
296,4.5599985,233,4.146542072296143,0.10496842116117477,51.695669412612915,50285
297,12.370016,304,8.03344202041626,3.493749976158142,64.44902801513672,50589
298,3.5099971,136,4.19329309463501,0.21426133811473846,30.626842260360718,50725
299,7.3700037,186,24.573549270629883,0.8072106242179871,41.012633323669434,50911
300,4.1699977,154,1.2739547491073608,0.26937198638916016,34.286803245544434,51065
301,2.6699984,129,1.901858925819397,0.0521334633231163,30.01989197731018,51194
302,2.1399987,110,3.728304147720337,0.021280305460095406,25.889714002609253,51304
303,5.5199995,174,4.3666582107543945,0.2689703702926636,38.54966735839844,51478
304,2.2899988,82,4.154641151428223,0.17472156882286072,19.858725786209106,51560
305,4.9699993,144,6.344121932983398,0.5333541035652161,32.48916554450989,51704
306,11.520014,318,4.97938084602356,1.0372542142868042,69.03454494476318,52022
307,6.82001,263,4.713536322116852,0.424191489815712,56.77218008041382,52285
308,3.019998,115,1.6336767673492432,0.15404151380062103,26.76949381828308,52400
309,3.069998,124,3.4649126529693604,0.21110953390598297,28.341731548309326,52524
310,11.470013,295,1.3521840274333954,1.4948039650917053,63.51465439796448,52819
311,10.370004,276,7.334140062332153,1.7101355195045471,60.80511999130249,53095
312,2.1099987,106,2.1070144176483154,0.2537268102169037,24.75033187866211,53201
313,7.8300033,235,6.160130023956299,0.758273720741272,50.81256437301636,53436
314,3.5399973,157,16.7932186126709,0.19856983423233032,35.07966589927673,53593
315,11.100014,287,2.508803129196167,1.7101340293884277,61.29936981201172,53880
316,4.62,169,10.387228965759277,0.20865371823310852,38.1945595741272,54049
317,6.960004,231,8.776200294494629,0.4787867069244385,50.19272470474243,54280
318,12.500016,311,2.6537747979164124,1.3906287550926208,65.63840222358704,54591
319,11.070027,335,18.136404991149902,1.9021700620651245,71.61636710166931,54926
320,3.3699975,125,4.902750015258789,0.3938816487789154,29.389315843582153,55051
321,3.0399978,110,10.319757461547852,0.10524295270442963,26.17626142501831,55161
322,3.5899975,110,5.114910125732422,0.26282039284706116,26.215072870254517,55271
323,8.39001,282,3.148948550224304,1.0580556094646454,60.13200759887695,55553
324,2.0599988,90,3.057448148727417,0.12953335046768188,21.495912313461304,55643
325,4.2299967,135,10.866219520568848,0.39877647161483765,30.62506675720215,55778
326,5.8500037,236,9.238287925720215,0.1610354483127594,52.34225559234619,56014
327,5.9800053,247,189.4437713623047,0.2656887471675873,53.61673402786255,56261
328,2.989998,99,2.397644519805908,0.12190233170986176,23.230568885803223,56360
329,6.0000043,230,2.8247556686401367,0.576485276222229,49.827739000320435,56590
330,1.3699994,66,18.80370330810547,0.14524587988853455,16.59848713874817,56656
331,10.240009,285,1.533686876296997,0.8682748973369598,62.95359444618225,56941
332,2.0999987,99,6.8511247634887695,0.1267177313566208,23.392875909805298,57040
333,8.600019,319,5.357946515083313,1.0121290981769562,67.64914536476135,57359
334,1.8999988,85,2.547170877456665,0.07433851808309555,20.485722064971924,57444
335,5.35,140,7.7573747634887695,0.7289018034934998,31.50861382484436,57584
336,3.6599975,133,6.795487403869629,0.3964883089065552,30.837236166000366,57717
337,10.6200075,275,35.14684462547302,1.5732037425041199,59.753191232681274,57992
338,9.860012,350,7.671215295791626,0.8635391294956207,73.83365035057068,58342
339,10.390011,300,6.287988901138306,1.2230793833732605,63.386892318725586,58642
340,3.899997,132,24.077112197875977,0.25375303626060486,30.055510997772217,58774
341,9.8700075,299,4.952053666114807,1.3860778212547302,65.54409217834473,59073
342,4.560004,220,3.1988630294799805,0.38027286529541016,47.81394124031067,59293
343,7.370008,233,9.770368576049805,0.9145150780677795,50.46673846244812,59526
344,1.8399988,72,3.1499714851379395,0.20433349907398224,18.23497200012207,59598
345,5.6800036,193,5.447690010070801,0.5959540605545044,42.28925895690918,59791
346,14.740077,565,4.5378843943278,0.5722685058911642,118.13554787635803,60356
347,3.3099973,169,4.048050880432129,0.1394576132297516,37.59536576271057,60525
348,5.3600006,182,3.574864149093628,0.36196526885032654,40.14019298553467,60707
349,10.500016,288,3.182838648557663,2.0162291526794434,61.473825216293335,60995
350,6.9400015,252,3.1464011669158936,0.3706151843070984,54.320504903793335,61247
351,4.039997,141,6.931368350982666,0.09374334663152695,32.26358389854431,61388
352,4.9799995,142,3.7245419025421143,0.46204084157943726,32.489551067352295,61530
353,2.6999981,117,11.432158470153809,0.08182883262634277,26.78703999519348,61647
354,10.950015,289,3.468947656452656,2.306711435317993,61.332385778427124,61936
355,10.030021,333,6.186871886253357,1.583839476108551,70.28658199310303,62269
356,1.7599992,80,4.055569171905518,0.23045599460601807,20.010626316070557,62349
357,2.839998,95,5.165331840515137,0.16190211474895477,23.209924697875977,62444
358,10.370011,281,4.712563753128052,2.509236216545105,64.51085686683655,62725
359,10.700022,331,4.524903416633606,0.8767638504505157,78.57765364646912,63056
360,1.4499996,73,2.277996778488159,0.18231157958507538,20.382776975631714,63129
361,8.710012,277,136.34766626358032,1.0013785064220428,69.87787508964539,63406
362,4.7600026,185,2.8425912857055664,0.5208398103713989,48.53495979309082,63591
363,11.940033,441,30.857637882232666,1.0361951887607574,108.12494492530823,64032
364,3.3799975,133,4.012369155883789,0.18382671475410461,34.79224634170532,64165
365,7.960005,274,7.246255397796631,0.322211429476738,65.33041501045227,64439
366,5.640002,173,4.469249248504639,0.3260859251022339,44.73110103607178,64612
367,6.7400026,255,15.603841781616211,0.2652706205844879,61.27279591560364,64867
368,3.0199983,107,4.243070125579834,0.18193446099758148,27.385453462600708,64974
